,primary_code,related_code,related_type,importance
0,HA0010041903,HA00100508,M,2
1,FA00601103,FA00601102,P,4
2,MM018,FA006010,P,3
3,MM018001,HA00100418,P,3
4,MM00100311,FA00100701,P,3
5,FA0010070202,FA00100701,P,4
6,FP00100108,PS00201301,P,4
7,FA0020050202,FA00300110,P,4
8,FA0020050201,FA00300110,P,4
9,FA0020050203,FA00300110,P,4
10,CM001005,FA00300110,P,4
11,MM0180010107,FA00300102,P,4
12,MM0180010107,FA0070340101,P,2
13,MM018001,FA007013,P,3
14,FP00100108,FA007047,A,4
15,FP00100108,ST00200102,D,4
16,EC001001130201,FA00706403,A,4
17,MM018,CT001,P,3
18,MM0180010107,FA0030010701,P,4
19,FA00200801,FA00200305,P,4
20,FA00200801,FA00200301,P,3
21,FA00200801,MM0180010102,M,3
22,FA00200801,MM0180010101,M,4
23,EC001001130201,EC0010010203,M,2
24,MM00100311,FA0050020206,P,3
25,MM018001,FA00700438,P,3
26,MM018001,FA00400126,P,3
27,MM018001,FA0070042301,P,3
28,MM00100311,LP001003,P,4
29,MM00100311,MM00100307,M,4
30,MM018001,FA00706802,P,3
31,MM00100311,FA00706802,P,4
32,MM0180010107,FA00706001,P,3
33,MM0180010107,EG0010050302,P,3
34,MM018001,FA007060,P,3
35,MM00100311,HW001025010503,P,2
36,MM00100311,HW001025010504,P,2
37,MM018001,FA00400403,P,3
38,MM018001,FA00400402,P,3
39,MM018001,HC00100902,P,3
40,MM018,HC001012,P,3
41,MM018001,SE002,P,4
42,MM018,HA003001,P,3
43,MM018,FA004004,P,3
44,MM018,FA004001,P,3
45,MM018,EE001,P,3
46,MM018,HA001004,P,3
47,MM018,HC001009,P,3
48,CM001005,MM004002,M,4
49,MM018,FA001011,P,3
50,CM001005,CC00500117,M,2
51,MM018,FA002013,P,3
52,MM018,HA001005,P,3
53,MM018,FA002005,P,3
54,CM001005,FA00300101,P,3
55,MM018,MM004003,T,4
56,MM018,FA007064,P,3
57,CM001005,FA00300109,P,1
58,MM018,FA00300109,P,3
59,MM018,FA007065,P,3
60,MM018,FA007066,P,3
61,MM018,FA006011,P,3
62,MM018,EG001,P,3
63,MM00100311,EE001011,P,2
64,MM018001,MM0180081401,M,4
65,MM018001,FA007089,P,3
66,MM018001,FA00706633,P,3
67,MM018001,FA00800807,D,4
68,MM018001,HA00100432,P,3
69,MM018001,HA001007,P,4
70,MM018001,FA00706491,P,3
71,MM018001,FA007015,P,3
72,MM018001,FA007098,P,3
73,MM018001,FA00706428,P,3
74,MM018001,FA00706409,P,3
75,FA0010070202,FA0010070105,P,3
76,FA0010070202,FA0010070106,P,3
77,MM018001,LP001012,P,4
78,MM018001,EE001015,P,3
79,FA00601103,FA0060110204,P,3
